"Census Tract","Census Block Group","County","County ID","Region","Economic Domain Score (by region)","Environmental Domain Score (by region)","Education Domain Score (by region)","Composite Index Score","Final Category"
"06071011102","060710111022","San Bernardino","06071","Rural Areas","0.811","0.371","0.993","0.827","Highest Resource"
"06071011102","060710111023","San Bernardino","06071","Rural Areas","0.706","0.371","0.958","0.495","Highest Resource"
"06071011203","060710112031","San Bernardino","06071","Rural Areas","0.559","0.552","0.839","0.288","High Resource"
"06071011203","060710112032","San Bernardino","06071","Rural Areas","0.804","0.552","0.552","0.32","Highest Resource"
"06071011204","060710112041","San Bernardino","06071","Rural Areas","0.755","0.902","0.552","0.377","Highest Resource"
"06071011204","060710112042","San Bernardino","06071","Rural Areas","#N/A","#N/A","#N/A","#N/A","#N/A"
"06071011204","060710112043","San Bernardino","06071","Rural Areas","0.895","0.902","0.552","0.56","Highest Resource"
"06071011205","060710112051","San Bernardino","06071","Rural Areas","0.497","0.301","0.608","0.015","Moderate Resource"
"06071011205","060710112052","San Bernardino","06071","Rural Areas","0.301","0.301","0.552","-0.112","Moderate Resource"
"06071011206","060710112061","San Bernardino","06071","Rural Areas","0.357","0.706","0.755","0.119","High Resource"
"06071011206","060710112062","San Bernardino","06071","Rural Areas","0.727","0.706","0.608","0.313","High Resource"
"06071011300","060710113001","San Bernardino","06071","Rural Areas","#N/A","#N/A","#N/A","#N/A","#N/A"
"06071011300","060710113002","San Bernardino","06071","Rural Areas","0.622","0.315","0.769","0.195","High Resource"
"06071011401","060710114011","San Bernardino","06071","Rural Areas","0.413","0.51","0.769","0.145","High Resource"
"06071011401","060710114012","San Bernardino","06071","Rural Areas","0.483","0.51","0.769","0.184","High Resource"
"06071011401","060710114013","San Bernardino","06071","Rural Areas","0.713","0.51","0.552","0.259","High Resource"
"06071011401","060710114014","San Bernardino","06071","Rural Areas","0.545","0.51","0.769","0.237","High Resource"
"06071011403","060710114031","San Bernardino","06071","Rural Areas","0.329","0.937","0.552","0.095","Moderate Resource"
"06071011403","060710114032","San Bernardino","06071","Rural Areas","0.65","0.937","0.552","0.307","High Resource"
"06071011403","060710114033","San Bernardino","06071","Rural Areas","0.538","0.937","0.769","0.306","High Resource"
"06071011403","060710114034","San Bernardino","06071","Rural Areas","0.077","0.937","0.769","-0.003","Moderate Resource"
"06071011404","060710114041","San Bernardino","06071","Rural Areas","0.462","0.986","0.769","0.308","High Resource"
"06071011404","060710114042","San Bernardino","06071","Rural Areas","0.448","0.986","0.734","0.255","High Resource"
"06071011500","060710115001","San Bernardino","06071","Rural Areas","0.825","0.287","0.986","0.792","Highest Resource"
"06071011500","060710115002","San Bernardino","06071","Rural Areas","0.72","0.287","0.762","0.23","High Resource"
"06071011600","060710116001","San Bernardino","06071","Rural Areas","0.28","0.217","0.105","-0.58","Low Resource"
"06071011600","060710116002","San Bernardino","06071","Rural Areas","0.629","0.217","0.664","0.09","Moderate Resource"
"06071011600","060710116003","San Bernardino","06071","Rural Areas","0.608","0.217","0.154","-0.316","Low Resource"
"06071011700","060710117001","San Bernardino","06071","Rural Areas","0.168","0.175","0.664","-0.263","Low Resource"
"06071011800","060710118001","San Bernardino","06071","Rural Areas","0.517","0.112","0.014","-0.62","Low Resource"
"06071011800","060710118002","San Bernardino","06071","Rural Areas","0.378","0.112","0.014","-0.694","Low Resource"
"06071011800","060710118003","San Bernardino","06071","Rural Areas","0.294","0.112","0.007","-0.749","Low Resource"
"06071011800","060710118004","San Bernardino","06071","Rural Areas","0.51","0.112","0","-0.777","Low Resource"
"06071011900","060710119001","San Bernardino","06071","Rural Areas","0.147","0","0.014","-0.98","Low Resource"
"06071011900","060710119002","San Bernardino","06071","Rural Areas","#N/A","#N/A","#N/A","#N/A","#N/A"
"06071011900","060710119003","San Bernardino","06071","Rural Areas","0.238","0","0.238","-0.612","Low Resource"
"06071011900","060710119004","San Bernardino","06071","Rural Areas","0.524","0","0.224","-0.463","Low Resource"
"06071012103","060710121031","San Bernardino","06071","Rural Areas","0.259","0.538","0.748","0.035","Moderate Resource"
"06071012103","060710121032","San Bernardino","06071","Rural Areas","0.098","0.538","0.741","-0.132","Moderate Resource"
"06071012104","060710121041","San Bernardino","06071","Rural Areas","0.112","0.406","0.399","-0.362","Low Resource"
"06071012104","060710121042","San Bernardino","06071","Rural Areas","0.678","0.406","0.524","0.135","High Resource"
"06071025000","060710250001","San Bernardino","06071","Rural Areas","#N/A","#N/A","#N/A","#N/A","#N/A"
"06071025100","060710251001","San Bernardino","06071","Rural Areas","0.14","0.497","0.063","-0.597","Low Resource"
"06071025100","060710251002","San Bernardino","06071","Rural Areas","0.07","0.497","0.091","-0.609","Low Resource"
"06071940100","060719401001","San Bernardino","06071","Rural Areas","#N/A","#N/A","#N/A","#N/A","#N/A"
"06071940100","060719401002","San Bernardino","06071","Rural Areas","0.217","1","0.231","-0.092","Moderate Resource"
"06073018700","060730187001","San Diego","06073","Rural Areas","#N/A","#N/A","#N/A","#N/A","#N/A"
"06073018801","060730188011","San Diego","06073","Rural Areas","0.852","0.568","0.173","0.057","Moderate Resource"
"06073018801","060730188012","San Diego","06073","Rural Areas","0.605","0.568","0.37","0.065","Moderate Resource"
"06073018802","060730188021","San Diego","06073","Rural Areas","1","0.704","0.963","0.871","Highest Resource"
"06073018802","060730188022","San Diego","06073","Rural Areas","0.975","0.704","0.642","0.53","Highest Resource"
"06073018802","060730188023","San Diego","06073","Rural Areas","0.963","0.704","0.37","0.342","High Resource"
"06073018802","060730188024","San Diego","06073","Rural Areas","0.778","0.704","0.37","0.165","High Resource"
"06073018802","060730188025","San Diego","06073","Rural Areas","0.864","0.704","0.642","0.399","Highest Resource"
"06073018803","060730188031","San Diego","06073","Rural Areas","0.469","0.074","0.704","0.095","Moderate Resource"
"06073018803","060730188032","San Diego","06073","Rural Areas","0.938","0.074","0.543","0.24","High Resource"
"06073018803","060730188033","San Diego","06073","Rural Areas","0.679","0.074","0.802","0.25","High Resource"
"06073018903","060730189031","San Diego","06073","Rural Areas","0.84","0.16","0.037","-0.161","Low Resource"
"06073018903","060730189032","San Diego","06073","Rural Areas","0.877","0.16","0.037","-0.14","Moderate Resource"
"06073018903","060730189033","San Diego","06073","Rural Areas","0.198","0.16","0.037","-0.537","Low Resource"
"06073018903","060730189034","San Diego","06073","Rural Areas","0.099","0.16","0.037","-0.676","Low Resource"
"06073018904","060730189041","San Diego","06073","Rural Areas","0.16","0.272","0.037","-0.505","Low Resource"
"06073018904","060730189042","San Diego","06073","Rural Areas","0.222","0.272","0.037","-0.466","Low Resource"
"06073018904","060730189043","San Diego","06073","Rural Areas","0.284","0.272","0.037","-0.44","Low Resource"
"06073018904","060730189044","San Diego","06073","Rural Areas","0.383","0.272","0.037","-0.336","Low Resource"
"06073018905","060730189051","San Diego","06073","Rural Areas","0.173","0.247","0.037","-0.502","Low Resource"
"06073018905","060730189052","San Diego","06073","Rural Areas","#N/A","#N/A","#N/A","#N/A","#N/A"
"06073018905","060730189053","San Diego","06073","Rural Areas","0.506","0.247","0.173","-0.193","Low Resource"
"06073018906","060730189061","San Diego","06073","Rural Areas","0.321","0.21","0.173","-0.336","Low Resource"
"06073018906","060730189062","San Diego","06073","Rural Areas","0.185","0.21","0.173","-0.434","Low Resource"
"06073018906","060730189063","San Diego","06073","Rural Areas","0.642","0.21","0.173","-0.141","Low Resource"
"06073019001","060730190011","San Diego","06073","Rural Areas","0.531","0.395","0.259","-0.096","Moderate Resource"
"06073019001","060730190012","San Diego","06073","Rural Areas","0.63","0.395","0.346","0.019","Moderate Resource"
"06073019001","060730190013","San Diego","06073","Rural Areas","0.407","0.395","0.37","-0.077","Moderate Resource"
"06073019002","060730190021","San Diego","06073","Rural Areas","0.395","0.037","0.63","-0.115","Moderate Resource"
"06073019101","060730191011","San Diego","06073","Rural Areas","0.025","0.111","0.148","-0.811","Low Resource"
"06073019101","060730191012","San Diego","06073","Rural Areas","0.815","0.111","0.272","-0.043","Moderate Resource"
"06073019101","060730191013","San Diego","06073","Rural Areas","0.667","0.111","0.815","0.253","High Resource"
"06073019101","060730191014","San Diego","06073","Rural Areas","0.136","0.111","0.864","-0.041","Moderate Resource"
"06073019103","060730191031","San Diego","06073","Rural Areas","0.617","0.852","0.284","0.082","Moderate Resource"
"06073019103","060730191032","San Diego","06073","Rural Areas","0.901","0.852","0.679","0.493","Highest Resource"
"06073019103","060730191033","San Diego","06073","Rural Areas","0.741","0.852","0.309","0.135","High Resource"
"06073019105","060730191051","San Diego","06073","Rural Areas","0.988","0.889","0.531","0.509","Highest Resource"
"06073019105","060730191052","San Diego","06073","Rural Areas","0.914","0.889","0.691","0.567","Highest Resource"
"06073019105","060730191053","San Diego","06073","Rural Areas","0.765","0.889","0.481","0.236","High Resource"
"06073019106","060730191061","San Diego","06073","Rural Areas","0.457","0.481","0.296","-0.079","Moderate Resource"
"06073019106","060730191062","San Diego","06073","Rural Areas","0.802","0.481","0.16","-0.033","Moderate Resource"
"06073019106","060730191063","San Diego","06073","Rural Areas","0.593","0.481","0.333","0.007","Moderate Resource"
"06073019106","060730191064","San Diego","06073","Rural Areas","0.123","0.481","0.321","-0.321","Low Resource"
"06073019107","060730191071","San Diego","06073","Rural Areas","0.259","1","0.247","-0.141","Moderate Resource"
"06073020801","060730208011","San Diego","06073","Rural Areas","0.951","0.444","0.901","0.643","Highest Resource"
"06073020801","060730208012","San Diego","06073","Rural Areas","0.926","0.444","0.432","0.247","High Resource"
"06073020801","060730208013","San Diego","06073","Rural Areas","0.556","0.444","0.358","-0.014","Moderate Resource"
"06073020805","060730208051","San Diego","06073","Rural Areas","0.494","0.679","0.432","0.032","Moderate Resource"
"06073020805","060730208052","San Diego","06073","Rural Areas","0.309","0.679","0.432","-0.081","Moderate Resource"
"06073020806","060730208061","San Diego","06073","Rural Areas","0.704","0.617","0.556","0.241","High Resource"
"06073020806","060730208062","San Diego","06073","Rural Areas","0.247","0.617","0.556","-0.043","Moderate Resource"
"06073020806","060730208063","San Diego","06073","Rural Areas","0.432","0.617","0.556","0.11","High Resource"
"06073020807","060730208071","San Diego","06073","Rural Areas","0.481","0.802","0.716","0.3","High Resource"
"06073020809","060730208091","San Diego","06073","Rural Areas","0.37","0.765","0.556","0.087","Moderate Resource"
"06073020809","060730208092","San Diego","06073","Rural Areas","0.58","0.765","0.556","0.227","High Resource"
"06073020809","060730208093","San Diego","06073","Rural Areas","0.272","0.765","0.556","-0.002","Moderate Resource"
"06073020810","060730208101","San Diego","06073","Rural Areas","0.568","0.926","0.716","0.381","Highest Resource"
"06073020810","060730208102","San Diego","06073","Rural Areas","0.889","0.926","0.716","0.548","Highest Resource"
"06073020810","060730208103","San Diego","06073","Rural Areas","0.519","0.926","0.716","0.36","High Resource"
"06073020811","060730208111","San Diego","06073","Rural Areas","0.543","0.963","0.716","0.383","Highest Resource"
"06073020811","060730208112","San Diego","06073","Rural Areas","0.79","0.963","0.716","0.495","Highest Resource"
"06073020811","060730208113","San Diego","06073","Rural Areas","0.42","0.963","0.716","0.318","High Resource"
"06073020902","060730209021","San Diego","06073","Rural Areas","0.074","0.593","0.519","-0.335","Low Resource"
"06073020902","060730209022","San Diego","06073","Rural Areas","0.346","0.593","0.84","0.214","High Resource"
"06073020903","060730209031","San Diego","06073","Rural Areas","#N/A","#N/A","#N/A","#N/A","#N/A"
"06073020903","060730209032","San Diego","06073","Rural Areas","#N/A","#N/A","#N/A","#N/A","#N/A"
"06073020903","060730209033","San Diego","06073","Rural Areas","0.049","0.383","0","-0.895","Low Resource"
"06073020904","060730209041","San Diego","06073","Rural Areas","0.148","0.815","0.469","-0.169","Low Resource"
"06073020904","060730209042","San Diego","06073","Rural Areas","0.111","0.815","0.494","-0.237","Low Resource"
"06073020904","060730209043","San Diego","06073","Rural Areas","0.654","0.815","0.42","0.15","High Resource"
"06073021000","060730210001","San Diego","06073","Rural Areas","0.012","0.654","0.012","-0.88","Low Resource"
"06073021000","060730210002","San Diego","06073","Rural Areas","#N/A","#N/A","#N/A","#N/A","#N/A"
"06073021000","060730210003","San Diego","06073","Rural Areas","0.037","0.654","0.012","-0.687","Low Resource"
"06073021000","060730210004","San Diego","06073","Rural Areas","#N/A","#N/A","#N/A","#N/A","#N/A"
"06073021100","060730211001","San Diego","06073","Rural Areas","0.086","0","0.506","-0.555","Low Resource"
"06073021100","060730211002","San Diego","06073","Rural Areas","0","0","0.667","-0.832","Low Resource"
"06073021100","060730211003","San Diego","06073","Rural Areas","0.062","0","0.235","-0.807","Low Resource"
"06073021100","060730211004","San Diego","06073","Rural Areas","#N/A","#N/A","#N/A","#N/A","#N/A"
"06073021202","060730212021","San Diego","06073","Rural Areas","0.235","0.358","0.975","0.371","High Resource"
"06073021202","060730212022","San Diego","06073","Rural Areas","0.296","0.358","0.988","0.416","Highest Resource"
"06073021204","060730212041","San Diego","06073","Rural Areas","0.827","0.531","0.914","0.538","Highest Resource"
"06073021204","060730212042","San Diego","06073","Rural Areas","0.716","0.531","0.938","0.499","Highest Resource"
"06073021204","060730212043","San Diego","06073","Rural Areas","0.358","0.531","0.889","0.255","High Resource"
"06073021205","060730212051","San Diego","06073","Rural Areas","0.753","0.321","0.877","0.429","Highest Resource"
"06073021205","060730212052","San Diego","06073","Rural Areas","0.691","0.321","0.938","0.447","Highest Resource"
"06073021205","060730212053","San Diego","06073","Rural Areas","0.21","0.321","0.852","0.094","Moderate Resource"
"06073021206","060730212061","San Diego","06073","Rural Areas","0.728","0.432","0.926","0.473","Highest Resource"
"06073021302","060730213021","San Diego","06073","Rural Areas","0.333","0.049","1","0.595","Highest Resource"
"06073021302","060730213022","San Diego","06073","Rural Areas","0.444","0.049","0.827","0.091","Moderate Resource"
"06077003602","060770036021","San Joaquin","06077","Rural Areas","0.549","0.882","0.059","-0.129","Moderate Resource"
"06077003602","060770036022","San Joaquin","06077","Rural Areas","0.039","0.882","0.02","-0.729","Low Resource"
"06077003602","060770036023","San Joaquin","06077","Rural Areas","0.235","0.882","0","-0.602","Low Resource"
"06077003900","060770039001","San Joaquin","06077","Rural Areas","#N/A","#N/A","#N/A","#N/A","#N/A"
"06077003900","060770039002","San Joaquin","06077","Rural Areas","0.686","0.353","0.549","0.062","High Resource"
"06077004001","060770040011","San Joaquin","06077","Rural Areas","0.02","0.647","0.725","-0.253","Low Resource"
"06077004001","060770040012","San Joaquin","06077","Rural Areas","0","0.647","0.176","-0.587","Low Resource"
"06077004106","060770041061","San Joaquin","06077","Rural Areas","0.196","0.686","0.706","0.032","Moderate Resource"
"06077004106","060770041062","San Joaquin","06077","Rural Areas","0.765","0.686","0.529","0.244","Highest Resource"
"06077004600","060770046001","San Joaquin","06077","Rural Areas","0.059","0.412","0.569","-0.202","Low Resource"
"06077004600","060770046002","San Joaquin","06077","Rural Areas","0.314","0.412","0.118","-0.358","Low Resource"
"06077004600","060770046003","San Joaquin","06077","Rural Areas","1","0.412","0.216","0.181","High Resource"
"06077004600","060770046004","San Joaquin","06077","Rural Areas","0.137","0.412","0.157","-0.382","Low Resource"
"06077004701","060770047011","San Joaquin","06077","Rural Areas","0.157","0.941","0.196","-0.156","Low Resource"
"06077004701","060770047012","San Joaquin","06077","Rural Areas","0.176","0.941","0.373","-0.03","Moderate Resource"
"06077004703","060770047031","San Joaquin","06077","Rural Areas","0.451","0.98","0.314","0.08","High Resource"
"06077004703","060770047032","San Joaquin","06077","Rural Areas","0.098","0.98","0.588","0.062","High Resource"
"06077004704","060770047041","San Joaquin","06077","Rural Areas","0.216","0.569","0.294","-0.203","Low Resource"
"06077004704","060770047042","San Joaquin","06077","Rural Areas","0.804","0.569","0.412","0.191","High Resource"
"06077004704","060770047043","San Joaquin","06077","Rural Areas","0.51","0.569","0.078","-0.233","Low Resource"
"06077004704","060770047044","San Joaquin","06077","Rural Areas","0.569","0.569","0.039","-0.313","Low Resource"
"06077004800","060770048001","San Joaquin","06077","Rural Areas","0.275","0.804","0.235","-0.194","Low Resource"
"06077004800","060770048002","San Joaquin","06077","Rural Areas","0.784","0.804","0.333","0.223","Highest Resource"
"06077004800","060770048003","San Joaquin","06077","Rural Areas","0.608","0.804","0.333","0.075","High Resource"
"06077004800","060770048004","San Joaquin","06077","Rural Areas","0.412","0.804","0.392","-0.023","Moderate Resource"
"06077004901","060770049011","San Joaquin","06077","Rural Areas","0.392","0.255","0.863","0.037","High Resource"
"06077004901","060770049012","San Joaquin","06077","Rural Areas","0.667","0.255","0.863","0.164","High Resource"
"06077004901","060770049013","San Joaquin","06077","Rural Areas","0.49","0.255","0.863","0.092","High Resource"
"06077004902","060770049021","San Joaquin","06077","Rural Areas","0.863","0.02","0.941","0.322","Highest Resource"
"06077004902","060770049022","San Joaquin","06077","Rural Areas","0.294","0.02","0.686","-0.141","Moderate Resource"
"06077004902","060770049023","San Joaquin","06077","Rural Areas","0.255","0.02","0.922","-0.093","Moderate Resource"
"06077004902","060770049024","San Joaquin","06077","Rural Areas","0.902","0.02","0.137","-0.055","Moderate Resource"
"06077005001","060770050011","San Joaquin","06077","Rural Areas","0.941","0.196","0.667","0.323","Highest Resource"
"06077005001","060770050012","San Joaquin","06077","Rural Areas","0.745","0.196","0.765","0.202","Highest Resource"
"06077005001","060770050013","San Joaquin","06077","Rural Areas","0.529","0.196","0.765","0.076","High Resource"
"06077005003","060770050031","San Joaquin","06077","Rural Areas","0.843","0.49","0.961","0.62","Highest Resource"
"06077005003","060770050032","San Joaquin","06077","Rural Areas","0.882","0.49","0.98","0.665","Highest Resource"
"06077005004","060770050041","San Joaquin","06077","Rural Areas","0.824","0.137","0.765","0.301","Highest Resource"
"06077005004","060770050042","San Joaquin","06077","Rural Areas","0.647","0.137","0.765","0.121","High Resource"
"06077005004","060770050043","San Joaquin","06077","Rural Areas","0.98","0.137","0.765","0.389","Highest Resource"
"06077005119","060770051191","San Joaquin","06077","Rural Areas","0.706","0","0.431","-0.221","Low Resource"
"06077005119","060770051192","San Joaquin","06077","Rural Areas","#N/A","#N/A","#N/A","#N/A","#N/A"
"06077005127","060770051271","San Joaquin","06077","Rural Areas","0.471","0.373","0.608","0.036","Moderate Resource"
"06077005127","060770051272","San Joaquin","06077","Rural Areas","0.353","0.373","0.608","-0.034","Moderate Resource"
"06077005129","060770051291","San Joaquin","06077","Rural Areas","0.373","0.098","0.431","-0.196","Low Resource"
"06077005129","060770051292","San Joaquin","06077","Rural Areas","0.118","0.098","0.431","-0.301","Low Resource"
"06077005130","060770051301","San Joaquin","06077","Rural Areas","0.627","0.314","0.431","0.006","Moderate Resource"
"06077005130","060770051302","San Joaquin","06077","Rural Areas","0.333","0.314","0.608","-0.068","Moderate Resource"
"06077005206","060770052061","San Joaquin","06077","Rural Areas","#N/A","#N/A","#N/A","#N/A","#N/A"
"06077005206","060770052062","San Joaquin","06077","Rural Areas","0.922","0.725","0.275","0.266","Highest Resource"
"06077005206","060770052063","San Joaquin","06077","Rural Areas","0.961","0.725","1","1.271","Highest Resource"
"06077005206","060770052064","San Joaquin","06077","Rural Areas","0.725","0.725","0.255","0.037","Moderate Resource"
"06077005206","060770052065","San Joaquin","06077","Rural Areas","0.588","0.725","0.098","-0.143","Moderate Resource"
"06077005501","060770055011","San Joaquin","06077","Rural Areas","0.078","0.529","0.745","-0.09","Moderate Resource"
"06077005501","060770055012","San Joaquin","06077","Rural Areas","0.431","0.529","0.51","-0.019","Moderate Resource"
"06079010002","060790100021","San Luis Obispo","06079","Rural Areas","0.213","0.798","0.309","-0.26","Moderate Resource"
"06079010002","060790100022","San Luis Obispo","06079","Rural Areas","0.085","0.798","0","-0.646","Low Resource"
"06079010002","060790100023","San Luis Obispo","06079","Rural Areas","0.021","0.798","0.043","-0.743","Low Resource"
"06079010016","060790100161","San Luis Obispo","06079","Rural Areas","0.649","0.351","0.138","-0.323","Low Resource"
"06079010016","060790100162","San Luis Obispo","06079","Rural Areas","0.011","0.351","0.032","-0.931","Low Resource"
"06079010101","060790101011","San Luis Obispo","06079","Rural Areas","0.468","0.649","0.053","-0.351","Low Resource"
"06079010102","060790101021","San Luis Obispo","06079","Rural Areas","0","0.117","0.053","-1.133","Low Resource"
"06079010102","060790101022","San Luis Obispo","06079","Rural Areas","#N/A","#N/A","#N/A","#N/A","#N/A"
"06079010102","060790101023","San Luis Obispo","06079","Rural Areas","0.351","0.117","0.053","-0.61","Low Resource"
"06079010102","060790101024","San Luis Obispo","06079","Rural Areas","0.096","0.117","0.16","-0.712","Low Resource"
"06079010102","060790101025","San Luis Obispo","06079","Rural Areas","0.617","0.117","0.16","-0.429","Low Resource"
"06079010201","060790102011","San Luis Obispo","06079","Rural Areas","0.149","0.426","0.319","-0.366","Low Resource"
"06079010201","060790102012","San Luis Obispo","06079","Rural Areas","0.585","0.426","0.223","-0.246","Moderate Resource"
"06079010202","060790102021","San Luis Obispo","06079","Rural Areas","0.053","0.585","0.191","-0.607","Low Resource"
"06079010202","060790102022","San Luis Obispo","06079","Rural Areas","0.16","0.585","0.191","-0.401","Low Resource"
"06079010204","060790102041","San Luis Obispo","06079","Rural Areas","0.415","0.447","0.255","-0.289","Low Resource"
"06079010204","060790102042","San Luis Obispo","06079","Rural Areas","0.234","0.447","0.255","-0.371","Low Resource"
"06079010205","060790102051","San Luis Obispo","06079","Rural Areas","0.33","0.372","0.149","-0.37","Low Resource"
"06079010205","060790102052","San Luis Obispo","06079","Rural Areas","0.074","0.372","0.255","-0.535","Low Resource"
"06079010205","060790102053","San Luis Obispo","06079","Rural Areas","0.245","0.372","0.255","-0.375","Low Resource"
"06079010300","060790103001","San Luis Obispo","06079","Rural Areas","0.66","0.245","0.191","-0.331","Low Resource"
"06079010300","060790103002","San Luis Obispo","06079","Rural Areas","0.128","0.245","0.33","-0.415","Low Resource"
"06079010300","060790103003","San Luis Obispo","06079","Rural Areas","0.032","0.245","0.011","-0.97","Low Resource"
"06079010300","060790103004","San Luis Obispo","06079","Rural Areas","0.117","0.245","0.128","-0.605","Low Resource"
"06079010403","060790104031","San Luis Obispo","06079","Rural Areas","0.223","0.83","0.372","-0.049","Moderate Resource"
"06079010403","060790104032","San Luis Obispo","06079","Rural Areas","0.202","0.83","0.372","-0.053","Moderate Resource"
"06079010403","060790104033","San Luis Obispo","06079","Rural Areas","0.277","0.83","0.372","-0.008","Moderate Resource"
"06079010404","060790104041","San Luis Obispo","06079","Rural Areas","0.521","0.957","0.34","0.088","Moderate Resource"
"06079010404","060790104042","San Luis Obispo","06079","Rural Areas","0.043","0.957","0.372","-0.272","Moderate Resource"
"06079010503","060790105031","San Luis Obispo","06079","Rural Areas","0.362","0.606","0.649","0.198","High Resource"
"06079010503","060790105032","San Luis Obispo","06079","Rural Areas","0.872","0.606","0.521","0.335","High Resource"
"06079010503","060790105033","San Luis Obispo","06079","Rural Areas","0.394","0.606","0.553","0.142","Moderate Resource"
"06079010503","060790105034","San Luis Obispo","06079","Rural Areas","0.564","0.606","0.553","0.198","High Resource"
"06079010504","060790105041","San Luis Obispo","06079","Rural Areas","0.489","0.979","0.628","0.327","High Resource"
"06079010504","060790105042","San Luis Obispo","06079","Rural Areas","0.436","0.979","0.553","0.244","High Resource"
"06079010504","060790105043","San Luis Obispo","06079","Rural Areas","0.628","0.979","0.628","0.36","Highest Resource"
"06079010602","060790106021","San Luis Obispo","06079","Rural Areas","0.681","0.521","0.66","0.298","High Resource"
"06079010602","060790106022","San Luis Obispo","06079","Rural Areas","0.447","0.521","0.66","0.208","High Resource"
"06079010602","060790106023","San Luis Obispo","06079","Rural Areas","0.606","0.521","0.66","0.249","High Resource"
"06079010603","060790106031","San Luis Obispo","06079","Rural Areas","0.298","0.319","0.66","0.081","Moderate Resource"
"06079010603","060790106032","San Luis Obispo","06079","Rural Areas","0.734","0.319","0.66","0.262","High Resource"
"06079010701","060790107011","San Luis Obispo","06079","Rural Areas","0.266","0.734","0.66","0.193","Moderate Resource"
"06079010701","060790107012","San Luis Obispo","06079","Rural Areas","0.574","0.734","0.66","0.301","High Resource"
"06079010701","060790107013","San Luis Obispo","06079","Rural Areas","0.702","0.734","0.66","0.381","Highest Resource"
"06079010703","060790107031","San Luis Obispo","06079","Rural Areas","0.181","0.66","0.819","0.166","Moderate Resource"
"06079010703","060790107032","San Luis Obispo","06079","Rural Areas","0.255","0.66","0.819","0.213","High Resource"
"06079010707","060790107071","San Luis Obispo","06079","Rural Areas","0.83","0.904","0.66","0.488","Highest Resource"
"06079010707","060790107072","San Luis Obispo","06079","Rural Areas","0.745","0.904","0.66","0.446","Highest Resource"
"06079010707","060790107073","San Luis Obispo","06079","Rural Areas","0.553","0.904","0.819","0.381","Highest Resource"
"06079010707","060790107074","San Luis Obispo","06079","Rural Areas","0.926","0.904","0.819","0.61","Highest Resource"
"06079010707","060790107075","San Luis Obispo","06079","Rural Areas","0.723","0.904","0.819","0.477","Highest Resource"
"06079011400","060790114001","San Luis Obispo","06079","Rural Areas","#N/A","#N/A","#N/A","#N/A","#N/A"
"06079011504","060790115041","San Luis Obispo","06079","Rural Areas","#N/A","#N/A","#N/A","#N/A","#N/A"
"06079011504","060790115042","San Luis Obispo","06079","Rural Areas","0.989","0.34","0.979","0.862","Highest Resource"
"06079011600","060790116001","San Luis Obispo","06079","Rural Areas","0.979","0.053","0.989","0.535","Highest Resource"
"06079011600","060790116002","San Luis Obispo","06079","Rural Areas","0.798","0.053","0.883","0.087","Moderate Resource"
"06079011600","060790116003","San Luis Obispo","06079","Rural Areas","1","0.053","0.883","0.428","Highest Resource"
"06079012302","060790123021","San Luis Obispo","06079","Rural Areas","0.947","0.287","0.968","0.67","Highest Resource"
"06079012302","060790123022","San Luis Obispo","06079","Rural Areas","0.957","0.287","0.585","0.355","Highest Resource"
"06079012302","060790123023","San Luis Obispo","06079","Rural Areas","0.809","0.287","0.298","-0.155","Moderate Resource"
"06079012304","060790123041","San Luis Obispo","06079","Rural Areas","0.936","0","0.021","-0.549","Low Resource"
"06079012304","060790123042","San Luis Obispo","06079","Rural Areas","0.851","0","0.415","-0.186","Moderate Resource"
"06079012304","060790123043","San Luis Obispo","06079","Rural Areas","0.915","0","0.415","-0.118","Moderate Resource"
"06079012304","060790123044","San Luis Obispo","06079","Rural Areas","0.968","0","0.362","-0.105","Moderate Resource"
"06079012304","060790123045","San Luis Obispo","06079","Rural Areas","0.862","0","0.415","-0.183","Moderate Resource"
"06079012401","060790124011","San Luis Obispo","06079","Rural Areas","0.319","0.085","0.085","-0.63","Low Resource"
"06079012401","060790124012","San Luis Obispo","06079","Rural Areas","0.766","0.085","0.234","-0.322","Low Resource"
"06079012401","060790124013","San Luis Obispo","06079","Rural Areas","0.404","0.085","0.085","-0.605","Low Resource"
"06079012402","060790124021","San Luis Obispo","06079","Rural Areas","0.787","0.213","0.234","-0.243","Moderate Resource"
"06079012402","060790124022","San Luis Obispo","06079","Rural Areas","0.426","0.213","0.085","-0.528","Low Resource"
"06079012402","060790124023","San Luis Obispo","06079","Rural Areas","0.287","0.213","0.085","-0.569","Low Resource"
"06079012502","060790125021","San Luis Obispo","06079","Rural Areas","0.457","0.766","0.915","0.384","Highest Resource"
"06079012502","060790125022","San Luis Obispo","06079","Rural Areas","0.106","0.766","0.915","0.203","High Resource"
"06079012502","060790125023","San Luis Obispo","06079","Rural Areas","0.309","0.766","0.606","0.176","Moderate Resource"
"06079012503","060790125031","San Luis Obispo","06079","Rural Areas","0.691","0.553","0.457","0.233","High Resource"
"06079012503","060790125032","San Luis Obispo","06079","Rural Areas","0.372","0.553","0.457","0.099","Moderate Resource"
"06079012503","060790125033","San Luis Obispo","06079","Rural Areas","0.17","0.553","0.457","-0.006","Moderate Resource"
"06079012505","060790125051","San Luis Obispo","06079","Rural Areas","0.5","0.681","0.766","0.279","High Resource"
